name,address,postal_code,latitude,longitude,SMSQ,operatingHours
Marine Parade Branch,Blk 83 Marine Parade #01-584/586 ,Singapore 440083,1.30285,103.90578,8318 4371,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Parkway Parade Branch,80 Marine Parade Road #01-12 Parkway Parade ,Singapore 449269,1.30195,103.90505,8318 4338,<p>Business Hours:<br />Mon - Fri: 10.00 AM to 6.00 PM<br />Sat: 10.00 AM to 2.30 PM<br />Close on Sundays and Public Holidays</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Bedok Branch,Blk 210 New Upper Changi Road #01-707 ,Singapore 460210,1.32467,103.93212,8318 4324,<p>Business Hours:<br />Mon - Fri: 8.30 AM - 4.30 PM<br />Sat: 8.30 AM - 1.00 PM</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Bedok Central Branch,Blk 213  Bedok North Street 1 #01-103,Singapore 460213,1.3263,103.93276,8318 4358,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM<br /> Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
SUTD Branch,8 Somapah Road #01-103,Singapore 487372,1.340822,103.963196,8318 4348,<p>Business Hours<br />Mon - Fri 8.30AM - 4.30PM <br />Sat: 8.30AM - 1.00PM<br />Sundays and Public Holidays: Closed.</p><p>All cash transactions must be made at ATM &amp; ATM+ machines. <br /> Personal and Corporate account opening is available online.</p>
Pasir Ris East Branch,Block 442 Pasir Ris Drive 6 #01-32/34,Singapore 510442,1.36892,103.95797,8318 4375,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
White Sands Branch,1 Pasir Ris Central Street 3 #03-05,Singapore 518457,1.37257,103.95016,8318 4385,<p>Business Hours:<br />Mon &ndash; Sat: 11:00 AM - 7:00 PM<br />Closed on Sun and Public Holidays</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Tampines Central Branch,Blk 513 Tampines Central #01-160,Singapore 520513,1.35373,103.94436,8318 4379,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Tampines East Branch,Blk 201A Tampines Street 21 #01-1051,Singapore 521201,1.35322,103.95259,8318 4380,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Eastpoint Branch,3 Simei Street 6 #01-24/25/29 Eastpoint Mall ,Singapore 528833,1.34281,103.95297,8318 4365,Business Hours:<br />Mon - Sat: 11am-7pm <br />Sundays and Public Holidays: Closed<p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
